Designator,Mid X,Mid Y,Layer,Rotation
C1,12.61,10.12,T,90
C2,13,21,T,90
C3,36.5,73.75,T,270
C4,10.75,22,T,270
FB1,38.75,73,T,90
S0,4.66,67.5,T,270
S1,4.66,60.5,T,270
S10,18,4.66,T,0
S11,27,4.66,T,0
S12,36,4.66,T,0
S13,40.34,11.5,T,90
S14,40.34,18.5,T,90
S15,40.34,25.5,T,90
S16,40.34,32.5,T,90
S17,40.34,39.5,T,90
S18,40.34,46.5,T,90
S19,40.34,53.5,T,90
S2,4.66,53.5,T,270
S20,40.34,60.5,T,90
S21,40.34,67.5,T,90
S3,4.66,46.5,T,270
S4,4.66,39.5,T,270
S5,4.66,32.5,T,270
S6,4.66,25.5,T,270
S7,4.66,18.5,T,270
S8,4.66,11.5,T,270
S9,9,4.66,T,0
U1,12,16,T,0
