Designator,Mid X,Mid Y,Layer,Rotation
C1,12.25,31,T,0
C10,12.3,7.95,T,270
C11,9.95,7.05,T,0
C12,1.5,10.55,T,90
C13,2.1,7.5,T,270
C2,9.45,25.1,T,270
C3,1.55,21.75,T,270
C4,9.85,22.55,T,180
C5,10.3,20,T,90
C6,9.05,17.5,T,270
C7,2.5,16.5,T,180
C8,10.75,14,T,90
C9,12.5,14,T,270
D1,8,29,T,0
FB1,7.6,4.3,T,0
J1,3.25,3.16,T,0
Q1,5.75,25,T,270
Q2,4.25,21.8,T,90
Q3,6.25,17.8,T,270
Q4,12.2,17,T,270
Q5,12.25,11,T,270
Q6,13.45,2.77,T,180
Q7,6.85,7.55,T,180
Q8,5.5,11.4,T,180
R1,14.05,29.45,T,0
R10,2.5,19.4,T,180
R11,7.9,20.6,T,180
R12,5.45,14.8,T,0
R13,14.2,19.85,T,270
R14,12.7,20.1,T,90
R15,8.5,15.25,T,0
R16,13.95,14.75,T,270
R17,8.45,12.8,T,0
R18,8.6,11.2,T,180
R19,13.85,8.8,T,270
R2,11.4,25.75,T,90
R20,14.1,5.35,T,0
R21,10,8.65,T,180
R22,11.05,2.45,T,270
R23,10.75,5.5,T,0
R24,3.05,10.5,T,270
R25,2.5,15.1,T,180
R26,2.5,13.6,T,0
R27,4.35,7.55,T,270
R3,3.8,30.95,T,180
R4,1.95,29.4,T,180
R5,7.35,22.9,T,90
R6,2.2,24,T,180
R7,13.7,24,T,0
R8,13,22.5,T,180
R9,2.5,17.95,T,180
