Designator,Mid X,Mid Y,Layer,Rotation
C1,69.88,96.61,T,180
C18,13.25,98,T,0
C19,10.45,92.1,T,270
C2,66,93.5,T,180
C20,2.55,88.75,T,270
C21,10.85,89.55,T,180
C22,11.3,87,T,90
C23,10.05,84.5,T,270
C24,3.5,83.5,T,180
C25,11.75,81,T,90
C26,13.5,81,T,270
C27,13.3,74.95,T,270
C28,10.95,74.05,T,0
C29,2.5,77.55,T,90
C3,71,84.5,T,180
C30,3.1,74.5,T,270
C31,86.75,2,T,180
C32,89.55,7.9,T,90
C33,97.45,11.25,T,90
C34,89.15,10.45,T,0
C35,88.7,13,T,270
C36,89.95,15.5,T,90
C37,96.5,16.5,T,0
C38,88.25,19,T,270
C39,86.5,19,T,90
C4,71,87.25,T,180
C40,86.7,25.05,T,90
C41,89.05,25.95,T,180
C42,97.5,22.45,T,270
C43,96.9,25.5,T,90
C44,4.75,2,T,180
C45,7.55,7.9,T,90
C46,15.45,11.25,T,90
C47,7.15,10.45,T,0
C48,6.7,13,T,270
C49,7.95,15.5,T,90
C50,14.5,16.5,T,0
C51,6.25,19,T,270
C52,4.5,19,T,90
C53,4.7,25.05,T,90
C54,7.05,25.95,T,180
C55,15.5,22.45,T,270
C56,14.9,25.5,T,90
C57,95.25,98,T,0
C58,92.45,92.1,T,270
C59,84.55,88.75,T,270
C60,92.85,89.55,T,180
C61,93.3,87,T,90
C62,92.05,84.5,T,270
C63,85.5,83.5,T,180
C64,93.75,81,T,90
C65,95.5,81,T,270
C66,95.3,74.95,T,270
C67,92.95,74.05,T,0
C68,84.5,77.55,T,90
C69,85.1,74.5,T,270
D2,9,96,T,0
D3,91,4,T,180
D4,9,4,T,180
D5,91,96,T,0
FB1,65.75,87.75,T,0
FB3,8.6,71.3,T,0
FB4,91.4,28.7,T,180
FB5,9.4,28.7,T,180
FB6,90.6,71.3,T,0
Q10,5.25,88.8,T,90
Q11,7.25,84.8,T,270
Q12,13.2,84,T,270
Q13,13.25,78,T,270
Q14,14.45,69.77,T,180
Q15,7.85,74.55,T,180
Q16,6.5,78.4,T,180
Q17,93.25,8,T,90
Q18,94.75,11.2,T,270
Q19,92.75,15.2,T,90
Q20,86.8,16,T,90
Q21,86.75,22,T,90
Q22,85.55,30.23,T,0
Q23,92.15,25.45,T,0
Q24,93.5,21.6,T,0
Q25,11.25,8,T,90
